"Facing north, build three stacks of two orange blocks, then destroy the bottom orange block on all three stacks",orange
Make a row with 3 orange blocks next to each other,orange
Place another green block to the southeastern side of the eastern most block.,green
"Place a green block to the west of the green block that's already present. Then, destroy the green block that's there.",green
Place another green block diagonally to the southwest of the existing green block.,green
Place three orange blocks next to each other in the middle of the space.,orange
"Facing north, move near the edge of the game area and build a stack of 6 yellow blocks",orange
In the middle of the grid build a column of 6 yellow blocks. Break the third block you placed.,orange
Place one yellow block the left and the right of the second highest block.,orange
"Leaving one empty cell to the left of the yellow structure, build a column of three green blocks. Break the first block placed.",green
"Facing north, place 2 green blocks to the left of the topmost green block, horizontally.",green
"Facing north, add two green block on the top of the green block on the left (it will make a tower of 4 green block)",green
Place two green blocks on top of the leftmost green block.,green
Break the highest two blocks of the rightmost green tower.,mixed
Add one green block below the leftmost green tower.,green
"Stack 6 yellow blocks in the middle of the grid, break the 3rd block from the bottom.",yellow
Stack a yellow block on another yellow block,yellow
Stack a yellow block on a yellow block,yellow
Remove 3 yellow blocks,mixed
place a yellow block atop the yellow block,yellow
"place three yellow blocks above the yellow blocks, skipping one space, leaving a blank in between",yellow
place two yellow blocks vertically atop the highest yellow block,yellow
"Place a green block on the eastern side of the block that's the second to highest, and do the same on the western side. The resulting structure should look like a plus sign from the northern view.",green
Destroy the two green blocks and replace them with yellow blocks.,yellow
place green block two squares west of the second level yellow block,green
"Stack 6 yellow blocks in the middle of the grid, the break the 3rd block from the bottom.",yellow
"Facing north, skip one square to the left of the yellow tower and stack 3 green blocks, so that there's a 1 block gap between the green blocks and the bottom two yellow blocks, then, finally, break the bottom green block.",green
"Move forward 4 steps, and place a yellow block",yellow
"Place 5 yellow blocks on top of the existing one;
Break the second block you placed.",yellow
Place a yellow block to the left and right of the second block from the top.,yellow
"Skip one square to the left of the 2 blocks tall yellow tower and build a 3 blocks tall green tower;
Break the bottom green block.",green
Skip one square to the left of the current green tower and build a column of 5 green blocks. Break the bottom block of the tower you just built.,green
"Between the two green towers, build a column of three green blocks. Destroy the bottom two blocks of the tower you just built.",green
Build a 6 blocks tall yellow tower and break the third block from the bottom.,yellow
"Build a six blocks tall yellow tower on the middle of the grid;
Break the third block from the bottom",yellow
"Facing north, place a yellow block to the left and right of the second yellow block from the top.",yellow
"Facing north, skip one square to the left of the yellow tower and build a 3 blocks tall green tower, then break the bottom green block.",green
"Facing north, place 2 green blocks to the left of the top green block.",green
"Facing north, place two green blocks on top of the leftmost green block and one under it.",green
"Facing north, build a row of three stacks of four red blocks",red
"Facing north, build a 4 blocks tall and 3 blocks wide vertical red rectangle from left to right in the middle of the grid.",red
"Facing north, place two orange blocks horizontally to the left of the second row of the rectangle, from the bottom.",orange
Place an orange block on the four red blocks in the center.,orange
"Facing north, stack 2 orange blocks on top of the leftmost orange block.",orange
"Facing north, place an orange block to the left of the leftmost red block of the top row.",orange
"Facing north, place a red block to the right of the rightmost red block, then place a red block on top of that, then break the first block you placed.",red
"Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle from left to right in the middle of the grid.",red
"Facing north, place an orange block to the left of both existing orange blocks.",orange
"Facing north, place an orange block in between the two leftmost orange blocks.",orange
place an orange block on top of the middle red block.,orange
"Facing north, place a red block to the right of the 2nd red block from the top.",red
"Facing north, place a red block to the right of the rightmost red block, then place a red block on top of that, finally, break the first block you placed.",red
"Facing south, place 3 red blocks side by side",red
"Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle, from left to right, in the middle of the grid.",red
"Facing north, stack 4 orange blocks immediately to the left of the red rectangle, then break the 1st and 3rd orange blocks from the bottom.",orange
"Facing north, place an orange block to the left of both exiting orange blocks.",orange
"Facing north, place an orange block in between the two leftmost orange blocks.",orange
"Facing north, build a 4 blocks tall 3 blocks wide vertical red rectangle, from left to right, in the middle of the grid.",red
"Facing north, stack 4 orange blocks immediately to the left of the red rectangle, then break the 1st and 3rd orange blocks from the bottom.",orange
"Facing north, build a stack of 4 yellow blocks",yellow
place a yellow block atop each yellow block,yellow
stack 2 orange left of the eastern most yellow block stack,orange
place 2 yellow blocks atop each yellow block stack,yellow
"Facing north, build a 4 blocks tall 3 blocks wide vertical yellow rectangle, from left to right, in the middle of the grid.",yellow
"Facing SOUTH, stack 3 red blocks right in front of the left column and right column of the yellow rectangle, then break the middle blocks of both red towers.",red
"Facing SOUTH, place a red block in front of all existing red blocks.",red
"Facing north, build a 4 blocks tall 3 blocks wide vertical yellow rectangle, from left to right, in the middle of the grid.",yellow
"Facing north, build a 4 blocks tall 3 blocks wide vertical yellow rectangle, from left to right, in the middle of the grid.",yellow
"Facing north, build a 3 blocks long and 4 blocks tall yellow rectangle from left to right in the middle of the grid.",yellow
"In front of the left side of the yellow rectangle, build a column of four red blocks. Break the bottom block of the column. Do the same for the right side of the yellow rectangle.",red
Build two red columns identical with the current red towers on the other side of the yellow rectangle. Destroy the initial red towers.,red
"Place three more red blocks behind each red column;
Break the middle block of both old red columns;",red
"Facing East, on the 6th column counting from the left and the 4th row counting from the bottom, build a tower of 2 orange blocks. After that, build a tower of 4 yellow blocks directly behind the orange blocks.",mixed
"Facing North, place a yellow block on top of the yellow block 6 rows in from the West.",yellow
"Facing North, place a yellow block on top of the yellow block that is 6 rows in from the West.",yellow
"Facing North, place a yellow block on top of the yellow block 6 rows in from the West.",yellow
"Facing North, Build 2 orange blocks (Stacking on top) of the right side of the existing yellow blocks (As similar to left side).",orange
Move the red block left side one step (Near to 2nd yellow block from left and bottom),red
"Facing West, Build a red block at the right side of the existing red block.",red
"Facing West, Build 2 red blocks (stacking on top) on top of the right most red block.",red
"Facing West, Build a red block at the left side of the upper red block (Should be contact with upper yellow block)",red
"Facing north, build a 4 blocks tall and 3 blocks wide vertical rectangle from left to right.",green
"Facing north, build a tower of two red blocks, then destroy the bottom red block",red
"Place a red block in the middle of the grid, one level higher.",red
"Facing north, build a 3 by 3 vertical purple square from left to right, centered behind the red block, one block higher than the grid.",purple
"Facing north, build a 3 by 3 purple square right behind the red block, from left to right, centered behind the red block, but one level higher than the grid.",purple
"Facing north, place a blue block to the left of the leftmost block of the top row, and another one to the right of the rightmost block of the top row.",blue
"Facing north, Build a Red block on top of the existing red block.",red
"Facing North, Destroy the bottom red block.",mixed
